customer_id,first_name,last_name,mobile_number,street,city,state,joined_date
1,Maya,Mani,6022768040,Street 4,Local Area,State,2024-04-15
2,Osha,Sachar,7501652580,Street 3,Local Area,State,2024-09-11
3,Om,Kaul,9319300868,Street 8,Local Area,State,2024-04-28
4,Mohammed,Buch,6935868570,Street 4,Local Area,State,2025-07-10
5,Anmol,Seth,8988348136,Street 2,Local Area,State,2025-01-29
6,Samesh,Khosla,7524296237,Street 1,Local Area,State,2024-12-13
7,Kalpit,Oza,7884095724,Street 8,Local Area,State,2025-08-05
8,Pranav,Gour,7225258329,Street 8,Local Area,State,2024-09-15
9,Widisha,Bose,6781165354,Street 5,Local Area,State,2025-10-05
10,Jasmit,Khatri,6618773210,Street 5,Local Area,State,2024-08-05
11,Xalak,Bala,7516851319,Street 1,Local Area,State,2024-10-12
12,Tamanna,Malhotra,8413982250,Street 8,Local Area,State,2024-03-21
13,Pavani,Kanda,6951691569,Street 4,Local Area,State,2024-02-15
14,Mohammed,Prasad,8363842005,Street 4,Local Area,State,2025-04-27
15,Dhruv,Garde,6062980262,Street 3,Local Area,State,2025-10-19
16,Matthew,Garde,9244063480,Street 2,Local Area,State,2024-06-07
17,Omkaar,Bhakta,6438214422,Street 2,Local Area,State,2024-06-25
18,Yutika,Kale,9880650072,Street 7,Local Area,State,2025-04-24
19,Balvan,Mammen,9489103972,Street 8,Local Area,State,2024-05-05
20,Hema,Pal,7120703049,Street 3,Local Area,State,2025-10-13
21,Urishilla,Bansal,6901562182,Street 1,Local Area,State,2025-01-13
22,Harini,Bhandari,6455927236,Street 5,Local Area,State,2025-09-28
23,Tejas,Krishnan,9370499022,Street 6,Local Area,State,2025-04-21
24,Rayaan,Thakur,6831876960,Street 5,Local Area,State,2025-08-03
25,Yadavi,Iyengar,6911152672,Street 5,Local Area,State,2024-07-16
26,Unni,Golla,9290680319,Street 3,Local Area,State,2024-07-07
27,Fariq,Nadig,9540089585,Street 3,Local Area,State,2024-10-11
28,Anita,Patla,9138788221,Street 7,Local Area,State,2025-10-13
29,Pooja,Sahni,7921714197,Street 7,Local Area,State,2024-01-08
30,Caleb,Sawhney,7271882843,Street 4,Local Area,State,2024-05-14
31,Daksha,Seth,7013892639,Street 6,Local Area,State,2024-09-12
32,Vihaan,Kata,6191921473,Street 2,Local Area,State,2025-08-30
33,Girik,Lata,9810458697,Street 4,Local Area,State,2025-07-04
34,Ekaraj,Keer,8499661956,Street 6,Local Area,State,2024-11-25
35,Yash,Din,9651637154,Street 1,Local Area,State,2025-09-29
36,Dipta,Sankar,8245644249,Street 3,Local Area,State,2024-05-09
37,Eiravati,Amble,6266092381,Street 1,Local Area,State,2025-07-12
38,Deepa,More,7967485733,Street 3,Local Area,State,2025-11-02
39,Chaaya,Deshpande,6888728645,Street 2,Local Area,State,2025-05-16
40,Jagvi,Shah,9145537488,Street 7,Local Area,State,2025-07-09
41,Shravya,Suri,9874226756,Street 5,Local Area,State,2024-06-13
42,Naksh,Luthra,9022351267,Street 2,Local Area,State,2025-05-25
43,Arjun,Raghavan,9454249568,Street 7,Local Area,State,2024-03-07
44,Siya,Dhar,9037894756,Street 4,Local Area,State,2025-05-19
45,Pallavi,Bhattacharyya,9240364141,Street 1,Local Area,State,2025-05-09
46,Ayaan,Chopra,9560481234,Street 6,Local Area,State,2025-11-29
47,Geetika,Magar,9294847092,Street 2,Local Area,State,2024-09-26
48,Rushil,Sandhu,6791011652,Street 5,Local Area,State,2025-11-20
49,Vidhi,Choudhary,8167189103,Street 7,Local Area,State,2025-04-12
50,Frederick,Memon,9915826368,Street 1,Local Area,State,2024-03-18
51,Mohini,Balan,8560604443,Street 8,Local Area,State,2024-04-22
52,Irya,Vaidya,7479285447,Street 5,Local Area,State,2024-10-20
53,Jagat,Kumer,8880824630,Street 6,Local Area,State,2025-05-23
